wl,toa_atm_refl,down_gas_trans,up_gas_trans,down_scat_trans,up_scat_trans,total_sph_alb
0.430,0.06800,0.99977,0.99999,0.82540,0.90314,0.20937
0.440,0.06300,0.99924,0.99996,0.83700,0.90868,0.19795
0.450,0.05800,0.99889,0.99994,0.84682,0.91343,0.18737
0.460,0.05400,0.99762,0.99988,0.85581,0.91779,0.17756
0.470,0.05000,0.99753,0.99988,0.86470,0.92209,0.16846
0.480,0.04700,0.99450,0.99972,0.87215,0.92575,0.16007
0.490,0.04400,0.99371,0.99968,0.87928,0.92923,0.15225
0.500,0.04100,0.98978,0.99948,0.88536,0.93222,0.14495
0.510,0.03800,0.98657,0.99932,0.89137,0.93515,0.13814
0.520,0.03600,0.98384,0.99918,0.89671,0.93777,0.13180
0.530,0.03300,0.97845,0.99890,0.90138,0.94007,0.12590
0.540,0.03100,0.97490,0.99872,0.90600,0.94234,0.12036
0.550,0.02900,0.97118,0.99853,0.91055,0.94458,0.11516
0.560,0.02800,0.96566,0.99824,0.91422,0.94648,0.11052
0.570,0.02600,0.94359,0.98223,0.91784,0.94835,0.10615
0.580,0.02500,0.95908,0.99705,0.92141,0.95019,0.10203
0.590,0.02200,0.87156,0.91340,0.92494,0.95200,0.09813
0.600,0.02200,0.95803,0.99784,0.92758,0.95336,0.09449
0.610,0.02100,0.95905,0.99789,0.93019,0.95470,0.09105
0.620,0.02100,0.96369,0.99814,0.93276,0.95602,0.08779
0.630,0.01900,0.94803,0.98427,0.93530,0.95732,0.08469
0.640,0.01900,0.97265,0.99825,0.93749,0.95847,0.08185
0.650,0.01800,0.96661,0.98883,0.93952,0.95955,0.07919
0.660,0.01800,0.97828,0.99645,0.94152,0.96062,0.07665
0.670,0.01700,0.98464,0.99922,0.94350,0.96167,0.07423
0.680,0.01600,0.98764,0.99913,0.94525,0.96265,0.07201
0.690,0.01400,0.91132,0.93666,0.94699,0.96363,0.06990
0.700,0.01400,0.92864,0.94106,0.94843,0.96441,0.06784
0.710,0.01400,0.97292,0.98111,0.94967,0.96507,0.06586
0.720,0.01100,0.68508,0.70615,0.95089,0.96572,0.06396
0.730,0.01200,0.86450,0.87892,0.95210,0.96637,0.06215
0.740,0.01300,0.95529,0.96265,0.95329,0.96700,0.06040
0.750,0.01300,0.99658,0.99983,0.95447,0.96763,0.05873
0.760,0.00300,0.36509,0.42921,0.95563,0.96825,0.05713
0.770,0.01200,0.99083,0.99273,0.95651,0.96876,0.05564
0.780,0.01200,0.99980,0.99983,0.95738,0.96926,0.05421
0.790,0.01100,0.95617,0.96049,0.95824,0.96976,0.05284
0.800,0.01100,0.96547,0.96906,0.95909,0.97025,0.05152
0.810,0.01100,0.98109,0.98301,0.95994,0.97073,0.05024
0.820,0.00900,0.80213,0.81381,0.96077,0.97121,0.04902
0.830,0.00900,0.90922,0.91635,0.96159,0.97168,0.04783
0.840,0.01000,0.96642,0.96976,0.96240,0.97215,0.04669
0.850,0.01000,0.99308,0.99385,0.96320,0.97262,0.04559
0.860,0.00900,1.00000,1.00000,0.96400,0.97307,0.04453
0.870,0.00900,0.99999,0.99999,0.96441,0.97334,0.04367
0.880,0.00900,0.99883,0.99895,0.96482,0.97360,0.04283
0.890,0.00900,0.98334,0.98510,0.96523,0.97385,0.04202
0.900,0.00600,0.70629,0.72056,0.96563,0.97411,0.04123
0.910,0.00700,0.74611,0.76093,0.96602,0.97436,0.04047
0.920,0.00800,0.96543,0.96887,0.96641,0.97461,0.03973
